"","tr","variable","value"
"641","30% lar","fn",16.5
"642","30% lar","fn",17.9
"643","30% lar","fn",15
"644","30% lar","fn",12.7
"645","30% lar","fn",15.8
"646","30% lar","fn",17
"647","30% lar","fn",13.9
"648","30% lar","fn",12.3
"649","30% lar","fn",12.7
"650","30% lar","fn",13.6
"651","30% lar","fn",15.1
"652","30% lar","fn",16.4
"653","30% lar","fn",18.3
"654","30% lar","fn",18.3
"655","30% lar","fn",13.5
"656","30% lar","fn",17.2
"657","30% lar","fn",18.2
"658","30% lar","fn",16.1
"659","30% lar","fn",16
"660","30% lar","fn",17.3
"661","0% lar","cn",19.5
"662","0% lar","cn",20.8
"663","0% lar","cn",18.3
"664","0% lar","cn",13.5
"665","0% lar","cn",16.8
"666","0% lar","cn",16.3
"667","0% lar","cn",17.6
"668","0% lar","cn",15.4
"669","0% lar","cn",15.8
"670","0% lar","cn",18.2
"671","0% lar","cn",14.3
"672","0% lar","cn",19.7
"673","0% lar","cn",13.6
"674","0% lar","cn",16.8
"675","0% lar","cn",16.9
"676","0% lar","cn",18.5
"677","0% lar","cn",19.3
"678","0% lar","cn",20.2
"679","0% lar","cn",13.7
"680","0% lar","cn",13.6
"681","0% lar","cn",18
"682","0% lar","cn",17.3
"683","0% lar","cn",18.1
"684","0% lar","cn",14.9
"685","0% lar","cn",15.5
"686","0% lar","cn",15.3
"687","0% lar","cn",16
"688","0% lar","cn",17.5
"689","0% lar","cn",18.4
"690","0% lar","cn",19.2
"691","30% lar","cn",14.3
"692","30% lar","cn",16.8
"693","30% lar","cn",13.6
"694","30% lar","cn",17.7
"695","30% lar","cn",16.9
"696","30% lar","cn",16
"697","30% lar","cn",17.2
"698","30% lar","cn",20.5
"699","30% lar","cn",19.3
"700","30% lar","cn",15.8
"701","30% lar","cn",14.5
"702","30% lar","cn",16.5
"703","30% lar","cn",18.1
"704","30% lar","cn",17.9
"705","30% lar","cn",16.2
"706","30% lar","cn",15
"707","30% lar","cn",15.5
"708","30% lar","cn",17.2
"709","30% lar","cn",19.4
"710","30% lar","cn",18.3
"711","30% lar","cn",15.4
"712","30% lar","cn",18.1
"713","30% lar","cn",16.2
"714","30% lar","cn",14.5
"715","30% lar","cn",13.1
"716","30% lar","cn",18.4
"717","30% lar","cn",17.5
"718","30% lar","cn",13.8
"719","30% lar","cn",17.7
"720","30% lar","cn",19.4
